latitude,longitude,datetime
42.624911,9.490061,2019-09-16 16:34:52
42.625094,9.490056,2019-09-16 16:35:14
42.625105,9.490170,2019-09-16 16:35:22
42.625267,9.490115,2019-09-16 16:35:42
42.625302,9.490214,2019-09-16 16:35:50
42.625373,9.490113,2019-09-16 16:35:52
42.625432,9.490102,2019-09-16 16:36:00
42.625519,9.490155,2019-09-16 16:36:06
42.625469,9.490236,2019-09-16 16:36:12
42.625676,9.490214,2019-09-16 16:36:32
42.625702,9.490241,2019-09-16 16:36:42
42.625714,9.490227,2019-09-16 16:36:44
42.625721,9.490275,2019-09-16 16:36:48
42.625792,9.490303,2019-09-16 16:36:52
42.625806,9.490266,2019-09-16 16:36:58
42.626253,9.490457,2019-09-16 16:37:52
42.626342,9.490417,2019-09-16 16:39:08
42.626343,9.490310,2019-09-16 16:39:20
42.626274,9.490375,2019-09-16 16:39:24
42.626306,9.490177,2019-09-16 16:39:38
42.626279,9.490086,2019-09-16 16:39:46
42.626273,9.490050,2019-09-16 16:39:52
42.626289,9.489833,2019-09-16 16:40:18
42.626286,9.489798,2019-09-16 16:40:20
42.626246,9.489647,2019-09-16 16:40:35
42.626246,9.489655,2019-09-16 16:40:39
42.626289,9.489578,2019-09-16 16:40:45
42.626283,9.489545,2019-09-16 16:40:51
42.626191,9.489502,2019-09-16 16:40:57
42.625959,9.488460,2019-09-16 16:44:15
42.625864,9.488482,2019-09-16 16:44:23
42.625965,9.488527,2019-09-16 16:44:27
42.625908,9.488580,2019-09-16 16:44:31
42.625918,9.488592,2019-09-16 16:44:33
42.625891,9.488593,2019-09-16 16:44:35
42.625850,9.488693,2019-09-16 16:44:53
42.625925,9.488737,2019-09-16 16:44:55
42.625929,9.488732,2019-09-16 16:44:57
42.625876,9.488714,2019-09-16 16:44:59
42.625852,9.488728,2019-09-16 16:45:01
42.625931,9.488788,2019-09-16 16:45:05
42.625901,9.488808,2019-09-16 16:45:07
42.625897,9.488849,2019-09-16 16:45:09
42.625984,9.488810,2019-09-16 16:45:13
42.625919,9.488851,2019-09-16 16:45:15
42.625840,9.488845,2019-09-16 16:45:17
42.625966,9.488852,2019-09-16 16:45:23
42.625932,9.489048,2019-09-16 16:45:41
42.625916,9.489081,2019-09-16 16:45:43
42.625835,9.488977,2019-09-16 16:45:53
42.625970,9.489246,2019-09-16 16:45:59
42.625835,9.489279,2019-09-16 16:46:15
42.625746,9.489157,2019-09-16 16:46:27
42.625889,9.489326,2019-09-16 16:46:29
42.625905,9.489348,2019-09-16 16:46:31
42.625791,9.489241,2019-09-16 16:46:33
42.625886,9.489398,2019-09-16 16:46:35
42.625893,9.489374,2019-09-16 16:46:37
42.625890,9.489402,2019-09-16 16:46:43
42.625835,9.489429,2019-09-16 16:46:47
42.625875,9.489474,2019-09-16 16:46:51
42.625931,9.489462,2019-09-16 16:46:53
42.625739,9.489330,2019-09-16 16:46:55
42.625855,9.489491,2019-09-16 16:46:57
42.625814,9.489493,2019-09-16 16:47:11
42.625856,9.489600,2019-09-16 16:47:13
42.625867,9.489616,2019-09-16 16:47:15
42.625853,9.489624,2019-09-16 16:47:17
42.625900,9.489648,2019-09-16 16:47:25
42.625818,9.489677,2019-09-16 16:47:27
42.625844,9.489692,2019-09-16 16:47:29
42.625817,9.489720,2019-09-16 16:47:31
42.625801,9.489714,2019-09-16 16:47:33
42.625779,9.489693,2019-09-16 16:47:35
42.625810,9.489730,2019-09-16 16:47:37
42.625781,9.489764,2019-09-16 16:47:41
42.625771,9.489802,2019-09-16 16:47:45
42.625779,9.489781,2019-09-16 16:47:47
42.625762,9.489824,2019-09-16 16:47:53
42.625747,9.489822,2019-09-16 16:47:55
42.625734,9.489835,2019-09-16 16:47:59
42.625724,9.489850,2019-09-16 16:48:03
42.625729,9.489931,2019-09-16 16:48:15
42.625702,9.489922,2019-09-16 16:48:17
42.625772,9.489910,2019-09-16 16:48:19
42.625664,9.489948,2019-09-16 16:48:23
42.625676,9.490025,2019-09-16 16:48:27
42.625667,9.490050,2019-09-16 16:48:37
42.625680,9.490045,2019-09-16 16:48:39
42.625805,9.490134,2019-09-16 16:48:43
42.625653,9.490145,2019-09-16 16:48:57
42.625614,9.490278,2019-09-16 16:49:03
42.625635,9.490245,2019-09-16 16:49:11
42.625546,9.490481,2019-09-16 16:49:39
42.625532,9.490715,2019-09-16 16:50:40
42.625484,9.490755,2019-09-16 16:50:46
42.625474,9.490752,2019-09-16 16:50:48
42.625465,9.490759,2019-09-16 16:50:50
42.625492,9.490918,2019-09-16 16:51:12
42.625459,9.491042,2019-09-16 16:51:38
42.625400,9.491332,2019-09-16 16:52:12
42.625424,9.491414,2019-09-16 16:52:50
42.625464,9.491867,2019-09-16 16:54:12
42.625405,9.491053,2019-09-16 16:55:40
42.625394,9.490940,2019-09-16 16:55:52
42.625381,9.490923,2019-09-16 16:55:56
42.625382,9.490922,2019-09-16 16:56:02
42.625362,9.490736,2019-09-16 16:56:18
42.625295,9.490723,2019-09-16 16:56:40
42.625373,9.490499,2019-09-16 16:56:50
42.625341,9.490466,2019-09-16 16:56:52
42.625310,9.490482,2019-09-16 16:56:56
42.625460,9.490330,2019-09-16 16:56:58
