datetime,latitude,longitude
2019-10-11 07:51:04,42.62085952,9.49566718
2019-10-11 07:51:10,42.62090168,9.49564230
2019-10-11 07:51:15,42.62094482,9.49561854
2019-10-11 07:51:22,42.62098713,9.49559068
2019-10-11 07:51:29,42.62102914,9.49556865
2019-10-11 07:51:36,42.62108312,9.49556708
2019-10-11 07:51:42,42.62113279,9.49554895
2019-10-11 07:51:48,42.62118063,9.49553808
2019-10-11 07:51:54,42.62123170,9.49553132
2019-10-11 07:52:00,42.62128305,9.49551584
2019-10-11 07:52:08,42.62132901,9.49549651
2019-10-11 07:52:15,42.62137731,9.49549838
2019-10-11 07:52:21,42.62142626,9.49548257
2019-10-11 07:52:27,42.62146820,9.49545881
2019-10-11 07:52:34,42.62151395,9.49543419
2019-10-11 07:52:43,42.62155930,9.49540695
2019-10-11 07:52:50,42.62160435,9.49539061
2019-10-11 07:52:55,42.62165121,9.49537583
2019-10-11 07:53:01,42.62169851,9.49535835
2019-10-11 07:53:07,42.62174188,9.49533435
2019-10-11 07:53:13,42.62178820,9.49531346
2019-10-11 07:53:19,42.62183882,9.49529561
2019-10-11 07:53:24,42.62188413,9.49529072
2019-10-11 07:53:30,42.62193389,9.49527957
2019-10-11 07:53:36,42.62197987,9.49527676
2019-10-11 07:53:43,42.62202390,9.49526027
2019-10-11 07:53:50,42.62206277,9.49522441
2019-10-11 07:53:57,42.62211282,9.49520792
2019-10-11 07:54:03,42.62216134,9.49520554
2019-10-11 07:54:09,42.62221007,9.49520139
2019-10-11 07:54:15,42.62225786,9.49518566
2019-10-11 07:54:21,42.62230963,9.49516889
2019-10-11 07:54:26,42.62235604,9.49514754
2019-10-11 07:54:33,42.62240397,9.49512792
2019-10-11 07:54:40,42.62244860,9.49511204
2019-10-11 07:54:47,42.62249612,9.49510653
2019-10-11 07:54:53,42.62254320,9.49508151
2019-10-11 07:54:59,42.62258995,9.49506671
2019-10-11 07:55:06,42.62263945,9.49506084
2019-10-11 07:55:14,42.62268468,9.49504028
2019-10-11 07:55:22,42.62273206,9.49500779
2019-10-11 07:55:27,42.62277505,9.49498714
2019-10-11 07:55:35,42.62282448,9.49497280
2019-10-11 07:55:42,42.62287190,9.49495132
2019-10-11 07:55:47,42.62291981,9.49494240
2019-10-11 07:55:53,42.62297220,9.49493234
2019-10-11 07:56:00,42.62302260,9.49491411
2019-10-11 07:56:06,42.62306768,9.49489122
2019-10-11 07:56:14,42.62311753,9.49486480
2019-10-11 07:56:19,42.62316318,9.49485346
2019-10-11 07:56:26,42.62320928,9.49484039
2019-10-11 07:56:33,42.62325880,9.49481611
2019-10-11 07:56:38,42.62330261,9.49478981
2019-10-11 07:56:45,42.62334714,9.49476148
2019-10-11 07:56:52,42.62338596,9.49472078
2019-10-11 07:56:59,42.62342880,9.49469188
2019-10-11 07:57:05,42.62346630,9.49465568
2019-10-11 07:57:13,42.62350691,9.49462063
2019-10-11 07:57:20,42.62355400,9.49460233
2019-10-11 07:57:25,42.62359948,9.49459655
2019-10-11 07:57:30,42.62365095,9.49459346
2019-10-11 07:57:38,42.62372582,9.49457090
2019-10-11 07:57:41,42.62378055,9.49454797
2019-10-11 07:57:46,42.62383178,9.49454424
2019-10-11 07:58:04,42.62386808,9.49449530
2019-10-11 07:58:10,42.62391445,9.49447734
2019-10-11 07:58:16,42.62396098,9.49445646
2019-10-11 07:58:24,42.62400481,9.49442708
2019-10-11 07:58:30,42.62405396,9.49441777
2019-10-11 07:58:36,42.62410109,9.49439672
2019-10-11 07:58:44,42.62414604,9.49437286
2019-10-11 07:58:54,42.62419428,9.49435505
2019-10-11 07:59:00,42.62424087,9.49433381
2019-10-11 07:59:06,42.62429172,9.49432623
2019-10-11 07:59:13,42.62434029,9.49430971
2019-10-11 07:59:19,42.62438794,9.49429201
2019-10-11 07:59:28,42.62443481,9.49427130
2019-10-11 07:59:34,42.62447998,9.49425794
2019-10-11 07:59:40,42.62452454,9.49424400
2019-10-11 07:59:48,42.62456907,9.49421819
2019-10-11 07:59:56,42.62461727,9.49419197
2019-10-11 08:00:02,42.62466453,9.49417516
2019-10-11 08:00:11,42.62470934,9.49414725
2019-10-11 08:00:17,42.62475516,9.49412520
2019-10-11 08:00:22,42.62480173,9.49411111
2019-10-11 08:00:28,42.62484668,9.49409192
2019-10-11 08:00:35,42.62489238,9.49407293
2019-10-11 08:00:44,42.62493127,9.49403625
2019-10-11 08:00:51,42.62498070,9.49401743
2019-10-11 08:00:58,42.62501844,9.49398047
2019-10-11 08:01:05,42.62506691,9.49395328
2019-10-11 08:01:10,42.62511652,9.49395256
2019-10-11 08:01:17,42.62516377,9.49394590
2019-10-11 08:01:25,42.62520430,9.49390646
2019-10-11 08:01:31,42.62525183,9.49390377
2019-10-11 08:01:37,42.62530247,9.49390298
2019-10-11 08:01:44,42.62534884,9.49388249
2019-10-11 08:01:51,42.62539511,9.49386469
2019-10-11 08:01:57,42.62543803,9.49384306
2019-10-11 08:02:03,42.62548549,9.49381984
2019-10-11 08:02:09,42.62553645,9.49379969
2019-10-11 08:02:15,42.62558650,9.49378713
2019-10-11 08:02:25,42.62563174,9.49376084
2019-10-11 08:02:32,42.62567993,9.49374394
2019-10-11 08:02:41,42.62572173,9.49371421
2019-10-11 08:02:49,42.62576665,9.49369642
2019-10-11 08:02:55,42.62581284,9.49368200
2019-10-11 08:03:01,42.62585794,9.49367815
2019-10-11 08:03:08,42.62590673,9.49366241
2019-10-11 08:03:15,42.62595357,9.49365593
2019-10-11 08:03:21,42.62600306,9.49365388
2019-10-11 08:03:27,42.62605681,9.49364924
2019-10-11 08:03:33,42.62610578,9.49364415
2019-10-11 08:03:40,42.62615537,9.49364412
2019-10-11 08:03:48,42.62620292,9.49361726
2019-10-11 08:03:55,42.62625123,9.49358831
2019-10-11 08:04:04,42.62629855,9.49355940
2019-10-11 08:04:11,42.62634456,9.49353566
2019-10-11 08:04:18,42.62638912,9.49351511
2019-10-11 08:04:26,42.62643695,9.49348376
2019-10-11 08:04:32,42.62647534,9.49344669
2019-10-11 08:04:41,42.62652135,9.49342641
2019-10-11 08:04:49,42.62657622,9.49341181
2019-10-11 08:04:54,42.62662504,9.49338783
2019-10-11 08:05:02,42.62665352,9.49333465
2019-10-11 08:05:09,42.62667369,9.49327118
2019-10-11 08:05:15,42.62670133,9.49321762
2019-10-11 08:05:21,42.62671099,9.49315257
2019-10-11 08:05:28,42.62671081,9.49309069
2019-10-11 08:05:35,42.62670904,9.49302654
2019-10-11 08:05:42,42.62670530,9.49296455
2019-10-11 08:05:48,42.62669987,9.49289625
2019-10-11 08:05:55,42.62667076,9.49284292
2019-10-11 08:06:01,42.62664708,9.49278414
2019-10-11 08:06:09,42.62662336,9.49272442
2019-10-11 08:06:17,42.62659604,9.49267335
2019-10-11 08:06:24,42.62656189,9.49263085
2019-10-11 08:06:33,42.62651590,9.49261879
2019-10-11 08:06:39,42.62646559,9.49261372
2019-10-11 08:06:45,42.62641451,9.49262212
